persona,topic,engine,format_id,binding_exists,arc_exists,story_count,band_counts,required_bands_missing,min_depth_satisfied,last_story_update,risk,deficit_codes
corporate_managers,anxiety,comparison,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,anxiety,false_alarm,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,anxiety,grief,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,anxiety,overwhelm,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,anxiety,shame,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,anxiety,spiral,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,anxiety,watcher,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,boundaries,comparison,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771959083.7025936,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,boundaries,false_alarm,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771959112.4429169,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,boundaries,shame,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771959056.5330238,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,burnout,grief,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771958797.5753148,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,burnout,overwhelm,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771958692.9066594,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,burnout,watcher,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771958741.8752308,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,compassion_fatigue,grief,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771959524.3749094,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,compassion_fatigue,overwhelm,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771959567.658138,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,compassion_fatigue,watcher,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771959601.1492403,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,courage,false_alarm,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,courage,shame,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,courage,spiral,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,depression,grief,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771959639.154707,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,depression,overwhelm,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771959672.9784482,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,depression,watcher,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771959702.33998,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,financial_anxiety,overwhelm,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771958852.2568226,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,financial_anxiety,shame,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771958946.995839,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,financial_anxiety,spiral,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771958902.6004355,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,financial_stress,overwhelm,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,financial_stress,shame,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
corporate_managers,financial_stress,spiral,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
